time,open,high,low,close,Volume
1775559600,68224.0,68339.28,68061.76,68331.0,103.0406944
1775560500,68331.0,68408.0,68242.88,68365.01,56.98011993
1775561400,68365.01,68450.72,68265.25,68402.04,40.23107398
1775562300,68402.04,68426.58,68310.41,68328.81,22.96404643
1775563200,68332.52,68472.68,68062.9,68263.85,113.84922879
1775564100,68263.86,68450.04,68189.45,68424.35,66.55904088
1775565000,68424.35,68479.46,68269.18,68308.65,51.11376276
1775565900,68308.64,68581.94,68225.25,68383.99,71.1418745
1775566800,68383.99,68633.63,68366.46,68612.01,121.16014589
1775567700,68612.01,68625.62,68443.01,68471.32,82.76541659
1775568600,68468.75,68591.1,68276.75,68324.0,137.96896671
1775569500,68325.1,68441.62,68176.76,68221.38,126.05487063
1775570400,68221.36,68248.09,67796.81,67873.98,288.8292147
1775571300,67873.99,68152.41,67750.0,68136.02,158.07972758
1775572200,68136.03,68217.63,67972.34,67985.67,63.82299732
1775573100,67984.49,68212.32,67840.0,67843.12,89.84872244
1775574000,67843.12,67971.19,67710.01,67876.8,147.56762275
1775574900,67877.68,68190.83,67865.68,68166.06,173.7108261
1775575800,68166.07,68206.13,68050.14,68065.68,107.18502448
1775576700,68065.91,68272.75,68052.87,68152.71,116.68324996
1775577600,68152.71,68444.36,68072.63,68129.32,113.51386373
1775578500,68129.33,69039.74,68060.31,68375.77,378.76217881
1775579400,68375.76,68378.35,68267.3,68313.02,64.95736117
1775580300,68313.02,68389.33,68186.38,68223.75,41.36744168
1775581200,68223.74,68357.52,68189.45,68295.27,81.40800679
1775582100,68291.08,68400.0,68177.75,68400.0,59.01777973
1775583000,68400.0,69000.0,68400.0,68687.1,205.09397428
1775583900,68687.11,68830.72,68665.98,68694.66,66.74317644
1775584800,68694.66,68773.69,68603.61,68635.36,47.74665641
1775585700,68635.36,68674.33,68545.93,68637.26,70.59873319
1775586600,68637.27,68727.18,68455.0,68511.99,47.904982
1775587500,68512.0,68512.0,68336.0,68430.56,58.64564107
1775588400,68430.55,68488.42,68324.38,68442.88,86.54179865
1775589300,68442.88,68808.45,68442.88,68559.29,81.9463625
1775590200,68558.27,68570.2,68436.86,68492.58,55.26156127
1775591100,68500.22,69083.82,68473.34,68993.62,264.79254231
1775592000,68998.45,69532.0,68998.45,69441.72,285.51678911
